"tax1","tax2","value"
"SRR9008197-ric-96-Ros-bigB","SRR9008197-ric-96-Ros-bigB",0
"SRR9008197-ric-96-Ros-bigB","SRR9008197-ric-96-Ros-bigB",0
"SRR9008163-inv-225-Mis-littleb","SRR9008163-inv-225-Mis-littleb",0
"SRR9008163-inv-225-Mis-littleb","SRR9008163-inv-225-Mis-littleb",0
"SRR9008163-inv-225-Mis-littleb","SRR9008275-inv-223-Cor-bigB",0
"SRR9008275-inv-223-Cor-bigB","SRR9008163-inv-225-Mis-littleb",0
"SRR9008275-inv-223-Cor-bigB","SRR9008275-inv-223-Cor-bigB",0
"SRR9008275-inv-223-Cor-bigB","SRR9008275-inv-223-Cor-bigB",0
"GCa8-9-littleb-p","GCa8-9-littleb-p",0
"GCa8-9-littleb-p","GCa8-9-littleb-p",0
