triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008168_xAdR-135-Pos-littleb,Lad4-1-bigB-m-majorityallele,0.0,2.3759999999999946,0.7649609039115048,0.23503909608849513,0.0005000000000000012,0.0006609893617021277,-1179.9633151257106,-1183.9499939658533,94
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008168_xAdR-135-Pos-littleb,SRR9008158_sae-47-Bel-bigB,0.0,1.7842696629213484,0.6730210156437872,0.32697898435621275,0.000445,0.000445,-25.23734967666234,-26.176597922632194,2
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008168_xAdR-135-Pos-littleb,SRR9008168_xAdR-135-Pos-littleb,0.0,3.513999999999998,0.7376882396041269,0.2623117603958732,0.0005000000000000003,0.0007608571428571429,-83.12095740183881,-84.58899901998463,7
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008163_inv-225-Mis-littleb,Lad4-1-bigB-m-majorityallele,0.0,2.3759999999999946,0.7525389212207144,0.24746107877928547,0.0005000000000000012,0.0007013052631578946,-1178.7206955890715,-1185.333909650532,95
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008163_inv-225-Mis-littleb,SRR9008158_sae-47-Bel-bigB,0.0,1.7842696629213484,0.6730210156437872,0.32697898435621275,0.000445,0.000445,-25.23734967666234,-26.176597922632194,2
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008163_inv-225-Mis-littleb,SRR9008163_inv-225-Mis-littleb,0.0,4.367999999999995,0.8497044198223819,0.1502955801776182,0.0005000000000000007,0.0005948333333333334,-73.8322387853816,-75.33499217519797,6
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008167_meg-127-BZ-littleb,Lad4-1-bigB-m-majorityallele,0.0,2.375999999999989,0.752538921254326,0.24746107874567394,0.0005000000000000024,0.0006908105263157894,-1182.7086955890716,-1188.198668157912,95
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008167_meg-127-BZ-littleb,SRR9008158_sae-47-Bel-bigB,0.0,1.7842696629213484,0.6730210156437872,0.32697898435621275,0.000445,0.000445,-25.23734967666234,-26.176597922632194,2
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_SRR9008167_meg-127-BZ-littleb,SRR9008167_meg-127-BZ-littleb,0.0,4.367999999999995,0.8497044198223819,0.1502955801776182,0.0005000000000000007,0.0005948333333333334,-73.8322387853816,-75.33499217519797,6
Lad4-1-bigB-m-majorityallele_SRR9008158_sae-47-Bel-bigB_GCa8-9-littleb-p,Lad4-1-bigB-m-majorityallele,0.0,2.3759999999999883,0.7525389212519136,0.2474610787480864,0.0005000000000000025,0.0006891157894736841,-1183.3526955890716,-1188.665359977915,95
